sending_facility,sending_facility_oid
PMG ADMINISTRATIVE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Wilsonville Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Arthritis Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Happy Valley Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG INTERNAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Neurological Specialties PSV,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group The Plaza Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group West Linn Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
Porfirio Pena MD,1.2.840.114350.1.13.297.2.7.2.696570.729
PROVIDENCE HOOD RIVER MEM HOSP INTERNAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Tanasbourne,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Southeast Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR CENTRAL POINT THERAPY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Sunset Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Bridgeport Immediate Care,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR GATEWAY REHABILITATION SVCS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV NEUROLOGICAL SPECIALTIES PLAZA,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Sunnyside Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD FAMILY PRACTICE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group The Plaza Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CASE MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG EAR NOSE AND THROAT,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford Medical Clinic Ellendale Primary Care,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WARRENTON FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Glisan Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford Medical Clinic Hillcrest Neurology,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG GATEWAY INTERNAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR NORTH EAST PHYSICAL THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - ST VINCENT,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Oncology and Hematology Care - Eastside,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL SURGERY CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG North Portland Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR EMERGENCY CTR,1.2.840.114350.1.13.297.2.7.2.696570.40
CREDENA HEALTH,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Gateway Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR NORTH EAST OT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ANTICOAGULATION CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Oncology and Hematology Care - Westside,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE GENERAL SURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG PRESCRIPTION PRIOR AUTHORIZATION,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG at Providence St Vincent,1.2.840.114350.1.13.297.2.7.2.696570.40
PMGNewberg Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR EAGLE POINT THERAPY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV WEST ONCOLOGY PALLIATIVE CARE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Gresham Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL ANTICOAGULATION CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Orenco,1.2.840.114350.1.13.297.2.7.2.696570.40
COLUMBIA GORGE ENT-THE DALLES,1.2.840.114350.1.13.297.2.7.2.696570.709
Providence Medical Group Mill Plain Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEUROLOGICAL SPECIALTIES EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SHERWOOD REHABILITATION SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Oregon City Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV ELDER AT HOME,1.2.840.114350.1.13.297.2.7.2.696570.40
OREGON CITY FAMILY PRACTICE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.722
PMG Milwaukie Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Employee Clinic The Plaza,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Bridgeport Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR BRIDGEPORT REHAB SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Sherwood,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Southwest Pediatrics,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Battle Ground Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Cascade Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Sunnyside Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CAMAS FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR PHYSICAL THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV SEASIDE ANTICOAGULATION CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Gateway,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC AT TOC GATEWAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR CARDIAC REHAB,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ElderPlace at Marie Smith Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NORTHEAST INTERNAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEM HOSP OCCUPATIONAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Molalla Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Neurology Associates,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR ANTICOAGULATION CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Sunset Dermatology,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CLINICAL DATA MIGRATION DEPT,1.2.840.114350.1.13.297.2.7.2.696570.40
Prov Connections Med Group - Palliative Care,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE AT WALGREENS HILLSBORO,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Dermatologic Specialties,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Psychiatry East,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WESTSIDE PHYSIATRY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Happy Valley Immediate Care,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Scholls Pediatrics,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEM HOSP ARTHRITIS CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR EMERGENCY CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR SPORTS THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC HEART RHYTHM GATEWAY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Gresham Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ElderPlace Administration,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BETHANY FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL ANTICOAGULATION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR BETHANY REHAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BRIDGEPORT PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - CARDIOVASCULAR SURGERY EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD OB/GYN HEALTH CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG DOCTORS CLINIC INTERNAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Women's Clinic ST Vincent Medical Center,1.2.840.114350.1.13.297.2.7.2.696570.40
POH TANASBOURNE OCCUPATIONAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Scholls Immediate Care,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR THERAPY TANASBOURNE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WOMENS CLINIC - MILWAUKIE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - NORTH COAST SEASIDE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BATTLE GROUND IMMEDIATE CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV Psychiatry East Bldg B,1.2.840.114350.1.13.297.2.7.2.696570.40
"Providence Medical Group Oregon City General, Vascular and Thoracic Surgery",1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG  MED CTR REHABILITATION SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC CENTER FOR ADV CARDIAC DISEASE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CENTRAL POINT FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG EAGLE POINT FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CLINICAL PHARMACISTS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SPORTS CARE CENTER AT PROVIDENCE PARK,1.2.840.114350.1.13.297.2.7.2.696570.40
POH CLACKAMAS OCCUPATIONAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ElderPlace at Lambert House,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL CLACKAMAS THERAPY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC HEART RHYTHM CONSULT PSVMC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG ENT AT BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL HAPPY VALLEY THERAPY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEURODEVELOPMENTAL CENTER FOR CHILDREN WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
Jeffery Horacek MD,1.2.840.114350.1.13.297.2.7.2.696570.729
PROVIDENCE NEURODEVELOPMENTAL CENTER FOR CHILDREN EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Mercantile Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NE ENDOCRINOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR CASE MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL MENTAL HLTH OP,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Oncology and Hematology Care - Southeast,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR ORENCO REHAB SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER ENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE THORACIC SURGERY WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MEDICAL CTR ANTICOAGULATION CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD PULMONARY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ElderPlace in Cully,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Glisan Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR ADULT EATING DISORDER,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD UROGYNECOLOGY AT OB/GYN HEALTH CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDENCE BEGINNINGS,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Bridgeport Dermatology,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDICAL GROUP CLACKAMAS DERMATOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE OREGON ONCOLOGY NAVIGATOR TEAM,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV CARDIAC MULTIDISCIPLARY CLINIC VALVE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG PHOENIX FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
POH EMPLOYER SVCS OCCUPATIONAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV NEURO CENTER FOR CHILDREN EAST PROVIDER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - NORTH COAST ASTORIA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR GRESHAM REHABILITATION SVCS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - GRESHAM,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - CARDIOVASCULAR SURGERY WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ElderPlace in Glendoveer,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Ashland Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR OCCUPATION HLTH CL,1.2.840.114350.1.13.297.2.7.2.696570.40
Prov WF Child and Adolescent OP Psychiatry Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Sunset Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford Medical Clinic Hillcrest Primary Care,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric Endocrinology,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG EAGLE POINT PEDIATRICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG GENERAL SURGERY AT BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Hillsboro Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Canby Immediate Care,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR WILSONVILLE REHAB,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Southeast,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Glisan Dermatology,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV WARRENTON ANTICOAGULATION CL,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Gorge Spine and Sports Medicine - Hood River,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD PEDIATRICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EXPRESS CARE VIRTUAL OR,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Gorge Spine and Sports Medicine - The Dalles,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ELDERPLACE IN BEAVERTON,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG TANASBOURNE IC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV THORACIC SURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV CANNON BEACH FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD PHYSIATRY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ELDERPLACE IN NORTHCOAST,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group North Portland,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR DOWNTOWN REHABILITATION,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG GATEWAY IC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Newberg,1.2.840.114350.1.13.297.2.7.2.696570.40
Greenfield Hlth Barnes,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Neurological Specialties,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR HAND THERAPY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR RESPIRATORY THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ElderPlace in Laurelhurst,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Medford Neurology Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR NEURO THERAPY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV POSTPARTUM CARE CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV ADULT EATING DISORDER INTENSIVE OUTPATIENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG DISEASE MANAGEMENT SUPPORT TEAM,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE UROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Lactation Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Oregon City Pulmonary and Critical Care,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EXPRESS CARE INTERSTATE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG HAPPY VALLEY PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR LAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - NEWBERG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR SCHOLLS REHAB SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ELDERPLACE IN MILWAUKIE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR WORKER REHAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE THERAPY GEARHART OP,1.2.840.114350.1.13.297.2.7.2.696570.40
OSS SEASIDE PSYCHOLOGY RHC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSP WOMENS CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Sunset,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE OTOLARYNGOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR OCCUPATIONAL THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Scholls Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS THERAPY PT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE WALK-IN CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE AT WALGREENS GLISAN AND 181ST,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG NEUROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR CAMAS REHABILITATION SVCS,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG SURGERY AND SPECIALTY SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR NORTH EAST SPEECH THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV PROVIDENCE SAINT VINCENT MEDICAL CENTER,1.2.840.114350.1.13.297.2.7.2.696570.405161
Antonio Pena MD,1.2.840.114350.1.13.297.2.7.2.696570.729
PROVIDENCE MILWAUKIE HOSPITAL THERAPY PT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC -  BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WOMENS CLINIC - EAST PORTLAND,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CANBY FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CANBY IC,1.2.840.114350.1.13.297.2.7.2.696570.405540
PROVIDENCE WILLAMETTE FALLS MED CTR THERAPY CANBY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH PROVIDENCE PORTLAND MEDICAL CENTER BLD B,1.2.840.114350.1.13.297.2.7.2.696570.405141001
PROVIDENCE MEDFORD MED CTR THERAPY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PSYCH INTENSIVE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
